POZO,FECHA,AGUA_INYECTADA,PIA
well_11,14/08/2019,0,0
well_11,15/08/2019,0,0
well_11,16/08/2019,0,0
well_11,17/08/2019,0,0
well_11,18/08/2019,0,0
well_11,19/08/2019,0,0
well_11,20/08/2019,0,0
well_11,21/08/2019,0,0
well_11,22/08/2019,0,0
well_11,23/08/2019,0,0
well_11,24/08/2019,16,28
well_11,25/08/2019,490,991
well_11,26/08/2019,574,1061
well_11,27/08/2019,600,1095
well_11,28/08/2019,557,1055
well_11,29/08/2019,496,948
well_11,30/08/2019,121,204
well_11,31/08/2019,362,612
well_11,1/09/2019,305,558
well_11,2/09/2019,397,555
well_11,3/09/2019,460,642
well_11,4/09/2019,458,640
well_11,5/09/2019,492,670
well_11,6/09/2019,444,597
well_11,7/09/2019,332,452
well_11,8/09/2019,489,873
well_11,9/09/2019,548,968
well_11,10/09/2019,551,965
well_11,11/09/2019,349,595
well_11,12/09/2019,23,39
well_11,13/09/2019,0,0
well_11,14/09/2019,0,0
well_11,15/09/2019,0,0
well_11,16/09/2019,0,0
well_11,17/09/2019,45,0
well_11,18/09/2019,0,0
well_11,19/09/2019,0,0
well_11,20/09/2019,0,0
well_11,21/09/2019,0,0
well_11,22/09/2019,0,0
well_11,23/09/2019,0,0
well_11,24/09/2019,0,0
well_11,25/09/2019,0,0
well_11,26/09/2019,0,0
well_11,27/09/2019,0,0
well_11,28/09/2019,0,0
well_11,29/09/2019,0,0
well_11,30/09/2019,0,0
well_11,1/10/2019,0,0
well_11,2/10/2019,0,0
well_11,3/10/2019,0,0
well_11,4/10/2019,0,0
well_11,5/10/2019,0,0
well_11,6/10/2019,0,0
well_11,7/10/2019,0,0
well_11,8/10/2019,0,0
well_11,9/10/2019,0,0
well_11,10/10/2019,0,0
well_11,11/10/2019,0,0
well_11,12/10/2019,0,0
well_11,13/10/2019,0,0
well_11,14/10/2019,0,0
well_11,15/10/2019,0,0
well_11,16/10/2019,0,0
well_11,17/10/2019,0,0
well_11,18/10/2019,0,0
well_11,19/10/2019,0,0
well_11,20/10/2019,0,0
well_11,21/10/2019,0,0
well_11,22/10/2019,0,0
well_11,23/10/2019,0,0
well_11,24/10/2019,0,0
well_11,25/10/2019,0,0
well_11,26/10/2019,0,0
well_11,27/10/2019,0,0
well_11,28/10/2019,0,0
well_11,29/10/2019,0,0
well_11,30/10/2019,0,0
well_11,31/10/2019,0,0
well_11,1/11/2019,0,0
well_11,2/11/2019,0,0
well_11,3/11/2019,0,0
well_11,4/11/2019,0,0
well_11,5/11/2019,0,0
well_11,6/11/2019,0,0
well_11,7/11/2019,0,0
well_11,8/11/2019,0,0
well_11,9/11/2019,0,0
well_11,10/11/2019,0,0
well_11,11/11/2019,0,0
well_11,12/11/2019,0,0
well_11,13/11/2019,0,0
well_11,14/11/2019,0,0
well_11,15/11/2019,0,0
well_11,16/11/2019,0,0
well_11,17/11/2019,0,0
well_11,18/11/2019,0,0
well_11,19/11/2019,0,0
well_11,20/11/2019,0,0
well_11,21/11/2019,0,0
well_11,22/11/2019,0,0
well_11,23/11/2019,0,0
well_11,24/11/2019,0,0
well_11,25/11/2019,0,0
well_11,26/11/2019,0,0
well_11,27/11/2019,0,0
well_11,28/11/2019,0,0
well_11,29/11/2019,0,0
well_11,30/11/2019,0,0
well_11,1/12/2019,0,0
well_11,2/12/2019,0,0
well_11,3/12/2019,0,0
well_11,4/12/2019,0,0
